city,category,name,type,description,platform_id
北京,经典名菜,北京烤鸭,菜系,外皮酥脆、肉质细嫩的经典名菜。,北京烤鸭
北京,经典名菜,全聚德（前门店）,店铺,历史悠久的烤鸭老字号，是体验正宗北京烤鸭的经典之选。,全聚德(前门大街店)
北京,经典名菜,大董（王府井店）,店铺,以“酥不腻”烤鸭闻名，环境和服务俱佳，适合宴请。,大董(王府井店)
北京,面食小吃,炸酱面,菜系,老北京的家常面食，浓郁的炸酱配上黄瓜丝、豆芽等菜码，地道又实惠。,老北京炸酱面
北京,面食小吃,海碗居（增光路总店）,店铺,京城知名京味面馆，炸酱面量大味足，人气火爆。,海碗居(增光路店)
北京,特色火锅,铜锅涮肉,菜系,冬季必吃！清汤铜锅搭配鲜切羊肉，蘸上麻酱小料，暖身又满足。,北京铜锅涮肉
北京,特色火锅,南门涮肉（天坛店）,店铺,本地人超爱的铜锅涮肉，肉质新鲜，麻酱小料地道，常常需要排队。,南门涮肉(天坛店)
上海,点心小吃,小笼包,菜系,皮薄馅大、汤汁丰盈，轻轻提起，慢慢品尝，是上海点心的代表作。,上海小笼包
上海,点心小吃,佳家汤包（黄河路店）,店铺,以汤汁多、个头大著称，是上海小笼包的代表之一。,佳家汤包(黄河路店)
杭州,经典名菜,西湖醋鱼,菜系,选用西湖草鱼，肉质鲜嫩，浇上糖醋芡汁，酸甜适口。,西湖醋鱼
杭州,经典名菜,东坡肉,菜系,相传为苏东坡所创，色泽红亮，味醇汁浓，酥烂而形不碎。,杭州东坡肉
杭州,杭州老字号,楼外楼（孤山路店）,店铺,百年老字号，位于西湖边，是品尝正宗西湖醋鱼和东坡肉的首选之地，风景绝佳。,楼外楼(孤山店)
杭州,杭州老字号,知味观·味庄（杨公堤店）,店铺,杭州著名餐饮品牌，环境优雅，其东坡肉肥而不腻，入口即化。,知味观味庄(杨公堤店)
成都,特色火锅,火锅,菜系,麻辣鲜香，牛油锅底翻滚，是成都的灵魂美食。,成都火锅
成都,特色火锅,小龙坎老火锅（镋钯街店）,店铺,网红火锅店，复古装修风格，牛油锅底香辣过瘾，毛肚和鸭肠非常新鲜。,小龙坎老火锅(镋钯街店)
苏州,经典名菜,松鼠鳜鱼,菜系,形如松鼠，外酥里嫩，浇上酸甜可口的茄汁，是苏帮菜的招牌。,松鼠鳜鱼
苏州,经典名菜,响油鳝糊,菜系,鳝丝滑嫩，蒜香浓郁，上桌时热油浇淋，发出“嗤啦”响声，故名响油。,响油鳝糊
苏州,苏帮菜代表,松鹤楼（观前街店）,店铺,苏州百年老字号，以苏帮菜闻名，其松鼠鳜鱼造型美观，口味正宗。,松鹤楼(观前街店)
苏州,苏帮菜代表,得月楼（观前街店）,店铺,另一家与松鹤楼齐名的老字号，菜品精致，是体验正宗苏帮菜的好去处。,得月楼(观前街店)
