city,days,route
苏州,1,"Day1: 拙政园 → 平江路 → 苏州博物馆（傍晚金鸡湖夜景）"
苏州,2,"Day1: 苏州博物馆→拙政园→狮子林→平江路→双塔市集→金鸡湖+东方之门;Day2: 观前街→怡园→留园→西园寺→寒山寺→七里山塘"
苏州,3,"Day1: 拙政园、狮子林；Day2: 虎丘、留园；Day3: 周庄古镇一日游+苏州大学游"
苏州,3,"第一天：拙政园→平江路；第二天：周庄；第三天：寒山寺→山塘街,经典打卡路线"
苏州,3,"第一天：太湖西山岛；第二天：同里古镇；第三天：观前街美食+金鸡湖夜景,休闲慢游路线"
苏州,2,"第一天：拙政园→平江路；第二天：寒山寺→山塘街,精简打卡路线"
北京,1,"Day1: 故宫 → 景山公园（俯瞰全景）→ 王府井小吃街"
北京,2,"Day1: 故宫、景山公园、王府井；Day2: 颐和园、圆明园、清华北大外景"
西安,1,"Day1: 兵马俑 → 华清池 → 回民街夜市"
西安,2,"Day1: 兵马俑、华清池；Day2: 陕西历史博物馆、大雁塔、大唐不夜城"
西安,3,"Day1: 兵马俑、华清池；Day2: 陕西历史博物馆、大雁塔；Day3: 回民街、城墙骑行"
杭州,1,"Day1: 西湖环湖（断桥 → 白堤 → 苏堤 → 雷峰塔）→ 河坊街"
杭州,2,"Day1: 西湖（断桥、苏堤、雷峰塔）；Day2: 灵隐寺、龙井村、河坊街"
成都,1,"Day1: 宽窄巷子 → 杜甫草堂 → 春熙路太古里 → 锦里夜景"
成都,2,"Day1: 宽窄巷子、杜甫草堂、锦里；Day2: 青城山 or 都江堰一日游"
成都,3,"Day1: 市区文化游（武侯祠、锦里、宽窄巷子）；Day2: 青城山前山；Day3: 都江堰水利工程 + 熊猫基地"
重庆,2,"Day1: 解放碑、洪崖洞、长江索道；Day2: 磁器口古镇、李子坝轻轨穿楼、南山一棵树夜景"
重庆,3,"Day1: 解放碑、八一好吃街、洪崖洞；Day2: 磁器口、歌乐山（渣滓洞）；Day3: 武隆喀斯特地貌一日游"
厦门,2,"Day1: 鼓浪屿一日游（日光岩、菽庄花园）；Day2: 厦门大学、南普陀寺、曾厝垵"
厦门,3,"Day1: 鼓浪屿；Day2: 厦大、南普陀、沙坡尾；Day3: 集美学村 + 环岛路骑行"
青岛,2,"Day1: 栈桥、八大关、五四广场；Day2: 崂山风景区一日游"
青岛,3,"Day1: 市南老城（栈桥、天主教堂、信号山）；Day2: 崂山仰口线；Day3: 啤酒博物馆 + 石老人海水浴场"
桂林,2,"Day1: 象鼻山、两江四湖夜游；Day2: 漓江竹筏（杨堤-兴坪）→ 阳朔西街"
桂林,3,"Day1: 象鼻山、靖江王府；Day2: 漓江精华游 → 阳朔；Day3: 遇龙河漂流 + 十里画廊骑行"
敦煌,2,"Day1: 莫高窟；Day2: 鸣沙山月牙泉（看日落）"
敦煌,3,"Day1: 莫高窟；Day2: 鸣沙山月牙泉；Day3: 西线包车游（阳关、玉门关、雅丹魔鬼城）"
南京,1,"Day1: 中山陵 → 明孝陵 → 夫子庙秦淮河风光带（夜游）"
南京,2,"Day1: 中山陵、明孝陵、音乐台；Day2: 南京博物院、总统府、夫子庙"
南京,3,"Day1: 钟山风景区（中山陵、明孝陵）；Day2: 市区文化（总统府、1912街区、南京博物院）；Day3: 牛首山文化旅游区 or 红山森林动物园"
长沙,2,"Day1: 岳麓山（岳麓书院、爱晚亭）→ 湖南大学 → 橘子洲头；Day2: 湖南省博物馆（马王堆）→ 超级文和友 → IFS国金中心"
长沙,3,"Day1: 岳麓山、橘子洲；Day2: 湖南省博、五一广场商圈；Day3: 长沙世界之窗 or 靖港古镇一日游"
大连,2,"Day1: 星海广场、圣亚海洋世界；Day2: 金石滩国家旅游度假区（发现王国）"
大连,3,"Day1: 市区（星海广场、滨海路木栈道）；Day2: 旅顺口区（日俄监狱、白玉山）；Day3: 金石滩地质公园 + 发现王国"
昆明,2,"Day1: 滇池（海埂大坝喂海鸥）→ 云南民族村；Day2: 石林风景区一日游"
昆明,3,"Day1: 翠湖公园、陆军讲武堂、云南大学；Day2: 滇池、西山森林公园（龙门）；Day3: 九乡溶洞 or 抚仙湖一日游"
哈尔滨,2,"Day1: 中央大街、圣索菲亚大教堂、松花江防洪纪念塔；Day2: 太阳岛风景区（冬季雪博会）"
哈尔滨,3,"Day1: 中央大街及周边；Day2: 东北虎林园、太阳岛；Day3: 伏尔加庄园 or 亚布力滑雪场（冬季）一日游"
北京,3,"Day1: 故宫、景山；Day2: 颐和园、圆明园；Day3: 八达岭长城、鸟巢水立方（夜景）,经典全景路线"
北京,3,"Day1: 自然博物馆、天坛公园；Day2: 北京动物园、紫竹院公园；Day3: 中国科学技术馆、奥林匹克森林公园,亲子欢乐路线"
杭州,3,"Day1: 西湖核心区（断桥、白堤、孤山）；Day2: 西湖西线（灵隐寺、龙井村、九溪烟树）；Day3: 西溪国家湿地公园 or 宋城千古情演出,深度西湖路线"
杭州,3,"Day1: 杭州乐园；Day2: 烂苹果乐园；Day3: 极地海洋公园,亲子主题路线"
西安,4,"Day1: 兵马俑、华清池；Day2: 陕西历史博物馆、大雁塔；Day3: 城墙、碑林博物馆、回民街；Day4: 华山一日游（需早起）,全景深度路线"
成都,4,"Day1: 宽窄巷子、锦里；Day2: 都江堰；Day3: 青城山；Day4: 乐山大佛 + 峨眉山（可选）一日游,巴蜀全景路线"
重庆,4,"Day1: 解放碑、洪崖洞；Day2: 磁器口、李子坝；Day3: 武隆天坑；Day4: 大足石刻一日游,全景山水路线"
